级别,编号,汉字,注音,词组,例句
1,1,一,yī,"一心一意,一帆风顺,一起,一定,一切",星期天，我们一家人去公园放风筝。
1,2,乙,yǐ,"甲乙,乙方,乙等,乙型",老师把作业分成甲乙两等，我得了甲等。
1,3,二,èr,"独一无二,说一不二,第二,二月,二人",这次数学考试我考了九十二分，真开心。
1,4,十,shí,"十全十美,一五一十,十分,十年,十月",金秋十月，校园里的桂花开了，真香。
1,5,丁,dīng,"目不识丁,添丁进口,丁香,园丁,丁点",清晨，校园里的园丁正在认真地修剪花草。
1,6,厂,chǎng,"工厂,厂长,厂家,厂房,机械厂",爸爸在城东的一家机械厂里当工程师。
1,7,七,qī,"七上八下,七零八落,七个,七月,第七",考试前我心里七上八下，怕考不好。
1,8,卜,"bo, bǔ","未卜先知,萝卜,占卜,胡萝卜,卜课",小白兔最爱吃又甜又脆的胡萝卜。
1,9,八,bā,"八仙过海,四通八达,八个,八月,第八",八仙过海，各显神通的故事真有趣。
1,10,人,rén,"引人注目,出人意料,人们,人民,人类",老师讲的故事引人注目，大家都爱听。
1,11,入,rù,"入木三分,引人入胜,进入,加入,收入",他的毛笔字入木三分，大家都夸厉害。
1,12,儿,ér,"儿子,女儿,儿童,儿童节,幼儿",六月一日是快乐的儿童节，我们真开心。
1,13,匕,bǐ,"图穷匕见,匕首,短匕,匕鬯",荆轲图穷匕见的故事，我听爸爸讲过。
1,14,几,"jī, jǐ","寥寥无几,几个,几天,几乎,几何",茶几上摆着几个又红又大的苹果。
1,15,九,jiǔ,"九牛一毛,九霄云外,九月,九十,第九",这点零花钱对他来说只是九牛一毛。
1,16,刁,diāo,"刁钻古怪,刁难,刁蛮,刁钻",这道题刁钻古怪，把大家都难住了。
1,17,了,"le, liǎo","一目了然,没完没了,了解,为了,除了",经过打听，我已经了解这件事的来龙去脉。
1,18,刀,dāo,"单刀直入,两肋插刀,小刀,菜刀,剪刀",美术课上，我小心翼翼地用小刀削铅笔。
1,19,力,lì,"力不从心,全力以赴,力气,努力,力量",考试时我要全力以赴争取好成绩。
1,20,乃,nǎi,"失败乃成功之母,乃是,乃至,乃尔",老师常鼓励我们，失败乃成功之母。
1,21,又,yòu,"又大又圆,又惊又喜,又是,又来,又见",中秋夜，天上的月亮又大又圆，真好看。
